Brand,Fuel_Type,Transmission,Seller_Type,Year,Km_Driven,Mileage_kmpl,Engine_CC,Seats,Owner_Count,Selling_Price_Lakhs
Mahindra,Petrol,Automatic,Individual,2006,87969,11.9,1200,5,3,0.5
Toyota,Electric,Manual,Dealer,2024,23217,24.8,1000,5,3,2.66
Mercedes,Diesel,Automatic,Individual,2023,101844,13.5,1200,8,1,3.88
Kia,Petrol,Manual,Individual,2010,145061,14.6,1500,5,2,0.5
Ford,Petrol,Manual,Individual,2014,173307,26.8,1000,8,1,0.5
Mahindra,Petrol,Manual,Individual,2017,89895,17.2,1000,5,2,0.5
BMW,Petrol,Manual,Individual,2006,192922,29.8,1800,8,2,0.5
Honda,Petrol,Manual,Trustmark Dealer,2014,186514,11.3,3000,7,1,0.5
Mahindra,Petrol,Manual,Trustmark Dealer,2014,78497,18.2,800,5,2,0.5
Mercedes,Diesel,Manual,Individual,2009,160055,24.1,1000,7,1,0.5
Mercedes,Diesel,Manual,Dealer,2008,12186,8.1,1500,5,1,3.89
Kia,Diesel,Manual,Dealer,2006,143578,11.3,1200,5,1,0.5
Ford,Diesel,Manual,Dealer,2011,177098,8.4,3000,5,2,0.5
Toyota,Petrol,Automatic,Individual,2022,182142,29.8,1500,6,1,0.5
Kia,Petrol,Manual,Individual,2021,185023,24.7,2500,7,1,0.5
Kia,Diesel,Manual,Dealer,2015,100761,16.2,2000,7,1,0.5
Honda,Diesel,Automatic,Dealer,2022,129272,11.4,2000,7,2,0.5
Tata,Petrol,Automatic,Dealer,2012,12791,10.0,1800,7,1,1.38
Ford,CNG,Automatic,Trustmark Dealer,2016,197407,19.7,2000,5,2,0.5
Hyundai,Diesel,Manual,Individual,2005,98133,29.5,1000,7,3,0.5
Kia,Diesel,Manual,Individual,2024,77306,22.8,2500,6,1,1.02
Audi,Petrol,Automatic,Dealer,2016,14893,16.0,800,7,2,4.13
Tata,Diesel,Manual,Individual,2010,161226,19.0,3000,8,1,0.5
Hyundai,Diesel,Manual,Dealer,2007,94854,30.0,800,5,1,0.5
